Column1,keyword,location,page,position,company,jobkey,jobTitle,jobDescription
0,python,texas,100,14,Verizon,a903c53b96fa5e36,UT Dallas Cloud Engineer Entry Level Opportunity,"When you join Verizon Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect around the world. We’re a human network that reaches across the globe and works behind the scenes. We anticipate, lead, and believe that listening is where learning begins. In crisis and in celebration, we come together—lifting up our communities and striving to make an impact to move the world forward. If you’re fueled by purpose, and powered by persistence, explore a career with us. Here, you’ll discover the rigor it takes to make a difference and the fulfillment that comes with living the #NetworkLife. What you’ll be doing... This posting is for students attending the UT Dallas Verizon hosted event on 02/23/24. Candidates interested in opportunities who are not attending the UT Dallas State Career Fair should search and apply to other roles here: www.verizon.com/campus. From internships and co-ops to leadership development programs and entry-level roles, Verizon’s award-winning Campus program allows you to take the next step toward shaping your future. Our Campus program has been recognized with awards like WayUp’s Top 100 Internship Programs and RippleMatch’s Campus Forward Award. Why the accolades? It’s easy. We quickly immerse our early in career V Teamers in meaningful work that deliver tangible business impact. Plus, you’ll have the opportunity to network with V Teamers across the globe, find mentors, and establish meaningful friendships that could last a lifetime. Start here and go anywhere, with opportunities across the business. When students like you join the V Team, our network becomes even stronger. This position is for a Cloud Solutions entry level role in the Verizon Global Network & Technology organization. In this role you will be responsible for assisting with the development, implementation, and upkeep of cloud computing solutions. You will work under supervision to support software development specifications with a thorough analysis and understanding of clients' needs and requirements. You will perform basic technical activities to help build scalable grid systems to handle a variety of frameworks in the cloud computing platform. As a Cloud Engineer you will: Provide support to clients, tracking the requirements of their computer needs and relaying the information back to developers. Support the evaluation and development of cloud-based systems and platforms, tracking software specifications and new cloud environments. Support the migrations of existing systems into new cloud-based environments, helping to decommission old systems while maintaining required services. Perform basic tests to validate the functionality of the software components to support its certification into production. Install, configure, and maintain the cloud-based systems. You must be currently enrolled in a degree program and be in good academic standing to be considered. In this hybrid full time position, you’ll have a defined work location that includes work from home and assigned office days set by your manager. This hybrid role will be based out of Southlake, Texas. If you are interested in other roles and locations in addition to this one, please submit your application to those postings as well in order to be considered. What we’re looking for... You’re a motivated self-starter. Never satisfied with the status quo, you’re always trying to perform at your personal best. You thrive in a fast-paced environment where new challenges come up every day. You are flexible, dependable, and work well in varying environments. Learning quickly is personally rewarding and inspires you to take smart risks. You’ll need to have: Currently enrolled at UT Dallas and attending the career fair on 02/23/24. Current enrollment in a Bachelor’s or Master’s degree majoring in Telecommunications, Information Technology, Engineering, Data Analytics, Data Science, Computer Science or related majors with a completion date of June 2024. Coursework or demonstrated experience in Python, Ansible. Coursework or experience in Cloud Architecture Openstack, Openshift, Wind River, or Kubernetes. Authorization to work in the U.S. without restrictions or need for future sponsorship. Willingness to travel and work in Southlake, Texas. Even better if you have one or more of the following: Demonstrated strong written and communication skills. Experience working with Microsoft Office and/or Google Suite Experience in Cloud Architecture & Cloud Computing (ex: Docker, Redhat Openstack, Aws, Azure, GCP). Experience in PERL and GoLang. If Verizon and this role sound like a fit for you, we encourage you to apply even if you don't meet every ""even better"" qualification listed above. Where you’ll be working In this hybrid role, you'll have a defined work location that includes work from home and assigned office days set by your manager.  Scheduled Weekly Hours 40  Equal Employment Opportunity We’re proud to be an equal opportunity employer - and celebrate our employees’ differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more."
1,python,texas,59,14,Kenneth Copeland Ministries,07efab4e9af5858e,Web Developer III,"Responsible for designing, developing, implementing, and maintaining KCM websites and related projects within the KCM guidelines. PRIMARY DUTIES AND RESPONSIBILITIES: Object-oriented PHP 7.x and JavaScript, jQuery, and PHP application development. Proactive engagement in project challenges and problem-solving. Actively follow the latest web development tools focusing on PHP, CSS, HTML5, and Javascript tools, such as Jquery and NodeJs. Communicate regular updates using the web team communication tools to the Web Team Supervisor and other members of the project team, as well as other stakeholders. Database design, including replicate, backup, and restoring. Mentor Developer I and Developer II team members as needed. JOB REQUIREMENTS: Education and Experience: Bachelor’s Degree in Computer Science, Management Information Systems, or proven work experience of 6 years in the same or related field. Write well-thought-out, extensible code that meets code requirements and requires little to no revisions prior to code deployment. Experience with a major object-oriented PHP framework such as Symfony 2.x/3.x, Laravel,or Zend 2.x. Experience creating/using REST API and web services (consuming and developing). Experience with Bootstrap CSS/JS. Experience with NodeJs, Lambda, and Python. Helpful Skills and Experience Expertise with MySQL, NoSQL, writing SQL, and database design. Experience with Development/Test/Production environment workflows. Experience with Git for version control preferred Github and active account. Database abstraction layer such as Doctrine. Experience with installing/configuring/deploying LAMP/LEMP stacks. Experience with Chef, AWS Opsworks, AWS Code Deploy, Docker, and Fabric a plus (devops). Knowledge, Skills, and Abilities: A mature, team-oriented, energetic individual with a focus on success and service. High-level analytical skills to find solutions to complex technical and system problems. Excellent verbal and written communication. Able to effectively work with diverse groups of people. Confident, self-starting, and goal oriented. Ability to work independently and in a team environment with great attention to detail and ability to work to deadlines. Ability to manage projects from start to finish and communicate with clients and team members. EQUIPMENT TO BE USED: Standard office equipment. TYPICAL PHYSICAL DEMANDS: Able to lift 50 lbs. Must be able to sit at a computer for a minimum of seven hours per day. Requires manual dexterity sufficient to operate standard office machines such as computers, fax machines, calculators, telephones, and other office equipment. TYPICAL MENTAL DEMANDS: Ability to give, receive and analyze information, formulate work plans, prepare written materials, and articulate goals and action plans. Must be very organized and require a modicum of instruction. Must be detailed, organized, and communicative. Must be task and goal-oriented with the ability to multitask. Must adapt well to changing work situations. Must be able to grasp and apply new ideas. Must resolve problems, handle conflict, make effective decisions, and react favorably in all work situations. Must relate and interact with people at all levels. Must have a good command of the English language and be able to proofread work. WORKING CONDITIONS: Works in a normal/typical office environment with minimum supervision. Strict adherence to Ministry policies, rules, and regulations in these areas is required. A commitment to carry out the Ministry’s policies is required. OTHER: Born again believer and must adhere to the doctrines of this organization as upheld by Kenneth and Gloria Copeland and their appointed representatives. Must work well with others, as a team, and according to Romans 16:17, must not cause dissension and division. Must maintain a good attendance record."
2,python,texas,59,12,ConocoPhillips,628eae59caed7715,Geospatial FME Developer - Contract,"World’s largest independent upstream oil and gas business SPIRIT values - Safety People Integrity Responsibility Innovation Teamwork Operations in 13 countries ConocoPhillips is a leading oil and gas company, which is hiring Geospatial FME Developers for contract positions. The Geospatial FME Developer is responsible for the technical development and implementation of FME workflows/benches working with geospatial data for the ConocoPhillips community. Description: The Geospatial FME Developer position is responsible for the development and support of FME application solutions, following best practices of information systems within ConocoPhillips. This role is responsible for the technical development and implementation of FME workflows/benches working with geospatial data for the ConocoPhillips community. This role may also include working directly with users to resolve their issues in working with the ArcGIS application and data. Job duties include working with the Geospatial Services team to ensure business requirements are met with FME integrations and our geospatial software. The job also includes ensuring the quality and accuracy of data and assisting in the defining and implementing of standard methodologies. This role will be responsible for extracting and manipulating data from internal and external sources to feed our primary GIS system. Responsibilities may include: Create and maintain customized FME workflows based on project or business requirements. Support FME workbenches and FME and FME Server application. Responsible for some development/customization of Geospatial solutions (FME, Python, etc.) Design and manage spatial datasets for efficient use by supported users. Work with business analysts and business areas to support their spatial data needs. Supporting, promoting, and documenting data management processes and procedures related to spatial data. Ensuring the quality, consistency, and accuracy of data in a timely, effective, and reliable manner Configure and manage data for efficient use by supported users. Optimize and support current FME workflows to improve efficiency. Integrating data workflows between GIS Systems and Snowflake Support ArcGIS tools and platforms. Communicating issues/downtime regarding applications to Business Analysts and customers Provide support and consult on Geospatial projects (ArcGIS Enterprise implementation) Includes prioritizing tasks, communicating progress, and ensuring requirements are met. Converting legacy applications in ArcGIS Enterprise environment. (Webapp builder to Experience Builder) Create and maintain application knowledge center articles. Basic Required: Bachelor's Degree or 5+ years equivalent work experience working with GIS applications 5+ years of experience working with Geospatial data/applications 5+ years of experience in FME Development and support 5+ years of experience working with merging internal and external data sources. Preferred: Experience running geospatial projects through the development, test, delivery and support of Geospatial projects ArcGIS customization using ArcObjects, Python 5+ years of experience in ArcGIS support Understanding of geographic information systems and spatial data ArcGIS Server, ArcSDE, and Oracle database ArcGIS Enterprise ArcGIS Online ArcGIS Web App Builder/Experience Builder Understanding of Coordinate Reference Systems and Transformations Solid understanding of data conversion and translations Understanding of database principles Computer skills in: FME ArcGIS/ArcPro suite of applications ArcSDE SQL Python Snowflake Ability to maintain the integrity of spatial datasets. Problem solving skills with the ability to solve spatial data related problems for the customers. Works well under times of intense pressure and adheres to tight deadlines. Ability to prioritize requests and multi-task. Ability to learn new applications and techniques quickly. Delivers results through realistic planning to accomplish goals. Generates effective solutions based on available information and makes timely decisions that are safe and ethical. Strong communication skills and the ability to liaise with the following other support groups: Customers, Business Analysts, Data Analysts and technical assistants (Geotechs) within business units Strong understanding of SQL (SQL Server and Oracle) ConocoPhillips contract opportunities are for project-based or other short-term engagements that require specialized skills. Successful candidates for contract opportunities will not be considered employees of ConocoPhillips or any of its subsidiaries nor will candidates be eligible for employment benefits. Candidates looking for regular full-time employment opportunities should begin their search here: https://careers.conocophillips.com/"
3,python,texas,59,11,Frontier Communications,0030c38880b04a76,"Senior IT Developer, Apigee, API Gateway","Senior IT Engineer, API Gateway Salary Range: $67,000 - $177,000 When you’re in the business of making connections, diversity and inclusion become part of your fiber. We believe in unlocking the power of diversity to drive digital connectivity, so if you feel your experience looks a little different, and you can add value, we encourage you to apply! #BuildGigabitAmerica About Us Frontier is a leading communications provider offering gigabit speeds to empower and connect millions of consumers and businesses in 25 states. It is building critical digital infrastructure across the country with its fiber-optic network and cloud-based solutions, enabling connections today and future-proofing for tomorrow. Rallied around its purpose of Building Gigabit America™, the company is focused on supporting a digital society, closing the digital divide, and working toward a more sustainable environment. Frontier is preparing today for a better tomorrow. Visit www.frontier.com. About The Role Frontier Communications is looking for a talented and passionate Senior Engineer to help drive the company’s transformation to a leading digital provider of fiber internet services. This talented individual will be the lead for the Apigee Platform, providing all the necessary application development support. The role will have the opportunity to drive the Apigee platform migration as part of Frontier’s journey to Cloud. This is a unique role that requires a strong applications background combined with Cloud experience, security, and operational considerations. The Engineer will be passionate about the operational aspects of cloud-based applications including but not limited to establishing telemetry, observability, and performance. ResponsibilitiesResident expert on the Apigee Platform who works across teams to ensure standards and practices are followed Resident expert on Drupal developer portal who works across teams to ensure standards and practices are followed Works on the Enterprise Integration team and provides application development support as needed Plays a key role in the API Gateway cloud migration journey Identify problems through the development lifecycle and have the initiative to look for post-production runtime patterns to optimize performance, stability, and cost Required QualificationsProficient knowledge of Implementing REST API for different flows using APIGEE Management APIs for Trace, Develop, Analytics, and integrated, Drupal based portal Experience in Apigee OPDK and Hybrid Expertise in Drupal Design and create advanced network security solutions for open enterprise solutions API Gateway Design, Architect, Implementation, Administration, Development and Management, API Developer Portal Implementation, Administration Experienced in creating network security solutions for Open Enterprise, using API Management Suite, Single Sign-On, SiteMinder, PingFederate, VDS, etc. Developed and implemented complicated authentication and authorization methods for large international companies, including SAML 2.0, OpenID, SAML, OpenDJ, OpenAM, OAuth 2.0, Federation, etc. Knowledge of different tools like Kibana, BigQuery on UDP, and DataDog with APIGEE Good at maintenance and automation shell scripting such as Linux, python Microservices development experience building large-scale end-to-end Web applications with Front-end/Back-end Integration and deployment. GCP, Docker, Kubernetes, Service Mesh. Good experience in Core Java and J2EE with Servlets, JSP, JPA, JDBC NodeJS, and end-to-end CICD Pipeline Education/Experience Bachelor's degree in computer science or equivalent experience Work Environment / Considerations The Frontier IT teams use a hybrid work-at-home/office model Work requires extensive use of a computer Responsibilities may require evening and weekend work in response to the needs of the systems being supported Frontier salaries are estimated by third parties and may or may not reflect actual or total compensation. Please confirm with your recruiter. We are deeply committed to attracting talented team members in the US from all backgrounds regardless of race, age, gender, ethnicity, religion, sexual orientation, disability status, or nationality. Frontier Communications is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability."
4,python,texas,59,10,Parsons,5bc6d16f0a60513f,Robotics Research Engineer,"In a world of possibilities, pursue one with endless opportunities. Imagine Next!  When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with intelligent, diverse people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We’ve got what you’re looking for.  Job Description: Parsons is seeking a sharp Robotics Research Engineer to support a Robotics/Intelligent Systems Research effort for our US Army DEVCOM Army Research Laboratory Customer in the Austin, Texas area. This will be remote work with occasional in-person collaboration meetings with other ARL team members in Austin. In this mostly remote role you will be supporting implementation and testing of research algorithms on ground robots. What You'll Be Doing : Design, execute, and support fundamental research experiments in the areas of robotics, machine learning, and artificial intelligence. This position will specifically focus on developing implementations of and executing experiments involving emerging techniques for using machine learning to build systems for robot perception and control applied to autonomous navigation in line with the ARL mission to develop fully autonomous maneuver for robotic systems operating in complex, unstructured environments. Examples include supervised and self-supervised deep learning for perception and deep imitation and reinforcement learning for control. Collaborate with other ARL employees and extramural collaborators (e.g., academic research groups) to refactor, optimize, and develop and execute verification and validation test processes for prototype software algorithms. Provide design and development support for a full mobile robot autonomy software stack that spans perception, mapping and localization, navigation, and control. Prepare and/or present publications and written documents summarizing efforts for ARL staff, universities, private corporations, research institutes, national laboratories, other Government research centers, or open literature forums. What Required Skills You'll Bring : No clearance required to start, but you must be a U.S. Citizenship with the willingness and ability to obtain and/or maintain a DoD Secret Clearance BS with 3+ years of experience in robotics or a robotics-related field, or a MS with 0+ years of experience. Experience developing software in a Linux environment, using Git for version control, and using Docker for containerization. Fluency in C/C++ and Python, and experience with common scientific and machine learning software libraries (e.g., Eigen, PyTorch, TensorFlow, scikit-learn). Experience with Robotics Operating System (ROS) and simulation environments. Experience with system integration and system-level design. PREFERRED : Experience designing, diagnosing, and repairing robotics hardware (sensors, computers, and actuators).  Keywords : Secret, DoD, Robotics, Artificial Intelligence, Machine Learning, Deep Learning, Algorithm, C++, Software, Engineer, Army Research Lab, Python, Docker, GIT, ROS, Autonomous, Linux, PyTorch, TensorFlow, etc. Minimum Clearance Required to Start: Not Applicable/None  This position is part of our Federal Solutions team.  Our Federal Solutions segment delivers resources to our US government customers that ensure the success of missions around the globe. Our diverse, intelligent employees drive the state of the art as they provide services and solutions in the areas of defense, security, intelligence, infrastructure, and environmental. We promote a culture of excellence and close-knit teams that take pride in delivering, protecting, and sustaining our nation's most critical assets, from Earth to cyberspace. Throughout the company, our people are anticipating what’s next to deliver the solutions our customers need now.  Salary Range: $92,200.00 - $161,400.00  We value our employees and want our employees to take care of their overall wellbeing, which is why we offer best-in-class benefits such as medical, dental, vision, paid time off, Employee Stock Ownership Plan (ESOP), 401(k), life insurance, flexible work schedules, and holidays to fit your busy lifestyle!  The position may require a COVID vaccination or an approved accommodation/exemption for a disability/medical condition or religious belief as required by customer requirements and some cases federal, state, provincial or local mandates. Parsons is an equal opportunity employer committed to diversity, equity, inclusion, and accessibility in the workplace. Diversity is ingrained in who we are, how we do business, and is one of our company’s core values. Parsons equally employs representation at all job levels for minority, female, disabled, protected veteran and LGBTQ+.  We truly invest and care about our employee’s wellbeing and provide endless growth opportunities as the sky is the limit, so aim for the stars! Imagine next and join the Parsons quest—APPLY TODAY!"
5,python,texas,59,9,Dept of Family & Protectve Svc,5426426532c3c661,Research Specialist V,"The Research Specialist will be part of the Department of Family and Protective Services (DFPS) Office of Data and Systems Improvement (ODSI). The position will act as an analyst in the Contract Performance team or the Analytics and Evaluation team. ODSI works to build a preeminent system for protecting children and vulnerable adults from abuse, neglect, and exploitation by partnering with DFPS leadership to continuously and proactively improve the agency’s processes, practices, and functioning to ensure optimal outcomes for the people the agency serves.      The Contract Performance and Analytics and Evaluation teams work with leadership to strategically use data to identify what parts of the system are working well and areas to target for improvement. The teams then work with the multiple divisions to explore the different aspects of a system (the people, policy, and processes) to find out why particular areas are performing well or need improvement. Working with leadership and, when appropriate, external stakeholders, the team brainstorms what to do, helps implement plans, and tracks and reports on progress.    Essential Job Functions: We’re looking for someone who wants to dedicate their talents and abilities to serving and protecting the most vulnerable Texans. Someone who is excited to be a part of a team of highly skilled, capable, and motivated individuals. We want someone who is intellectually curious, wanting to understand not just what is happening but why, and who’s not afraid to think outside the box for innovative and new ways of solving problems. We need someone who can engage a variety of people across the agency, as well as with external stakeholders, building strong relationships and support for the work of our division. The specific job functions include:     Conduct in-depth analyses and evaluations of statewide programs and initiatives to proactively identify areas of strength and areas needing improvement. When areas needing improvement are identified, support state office leadership and external partners in understanding root causes and implementing continuous quality improvement strategies. Identify and create tools or reports that encourage work efficiency and data-driven decision making. Facilitate and foster collaborative approaches to change, incorporating diverse perspectives through focus groups, workgroups, surveys, or similar methods. Present and explain complex data analysis in a way that is easily understandable and engaging for someone with limited knowledge of technical terms or analytical jargon.Knowledge Skills Abilities: Required Skills     Data analysis skills - ability to conduct data analysis and interpret findings Ability to creatively problem solve, including accessing needed resources from multiple areas and sources, and helping management think outside-the-box in developing solutions An attitude of customer service with demonstrated experience in team-building and collaboration - providing actionable and relevant recommendations, helping management stay focused on outcomes to be achieved, but being flexible and deferring to management with respect to how to best accomplish objectives Communication skills - the ability to communicate information orally and in writing in a way that is understandable for multiple different audiences, including taking complicated information and making it understandable An ability to work with staff, regardless of their role, from direct delivery caseworkers up to executive leadership Knowledge of evaluation concepts and methods including measurement, testing, random sampling, research methods, principles, techniques, and philosophies. An understanding of and ability to apply process and systems improvement principles  Preferred Skills     Experience in program evaluation, including experience designing and conducting large-scale or multi-site evaluations. Knowledge of the child welfare system Understanding of and demonstrated skill in project management - specifically being able to keep plans on trackRegistration or Licensure Requirements:Initial Selection Criteria:Bachelor's degree from an accredited university at a minimum. Master’s degree or higher preferred. Ability to travel (up to 5%) Experience communicating with individuals of differing levels of experience, knowledge, and authority. Experience in data analysis and use of Excel, at a minimum. Experience with SQL, Tableau, and/or an analytics tool such as SAS, Stata, SPSS, R, or Python preferred.Additional Information:MOS Code: Note: Military occupation(s) that relate to the initial selection criteria and registration or licensure requirements may include, but are not limited to 35F, IT, 23, 02111, 8E000. All active duty military, reservists, guardsmen, and veterans are encouraged to apply if qualified to fill this position. For more information see the Texas State Auditor’s Military Crosswalk at http://www.hr.sao.state.tx.us/Compensation/JobDescriptions.aspx.      MOS Code: 35F, IT, 23, 02111, 8E000    As a state agency, DFPS is required Texas Administrative Code (TAC 206 and 213) to ensure all Electronic Information Resources (EIR) follow accessibility standards. The staff must be familiar with the WCAG 2.1 AA and Section 508 to create accessible content including but not limited to; Microsoft Office documents, Adobe PDFs, webpages, software, training guides, video, and audio files.HHS agencies use E-Verify. You must bring your I-9 documentation with you on your first day of work.In compliance with the Americans with Disabilities Act (ADA), HHS agencies will provide reasonable accommodation during the hiring and selection process for qualified individuals with a disability. If you need assistance completing the on-line application, contact the HHS Employee Service Center at 1-888-894-4747. If you are contacted for an interview and need accommodation to participate in the interview process, please notify the person scheduling the interview."
6,python,texas,59,8,Tesla,5da796d6f2db901e,"Engineering Technician, Quality Cybertruck","What to Expect     The Quality Engineering Technician will ensure that all material both in-process and incoming, meets Tesla’s quality requirements and specifications. This person will be responsible to identifying quality issues within the manufacturing environment, leading investigations and root cause analysis, collecting relevant process and product data, and managing non-conforming material. This person will work closely with production and engineering teams to maintain rapid response and to drive continuous improvements to the production process.   What You’ll Do  Perform various inspections, audits, and testing to evaluate product and process performance Drive root cause investigations for in-process and incoming quality issues Collect and analyze mechanical and electrical test and measurement data with engineering teams Manage, inspect, contain, and disposition non-conforming material. Work with engineering teams to validate new product designs, equipment, and processes Assist with PFMEA and control plan activities to identify and mitigate manufacturing risks before they become quality issues Analyze production data to identify potential non-conforming or at-risk materialWork with cross-functional teams to meet safety, quality, and production goals What You’ll Bring  Experience with quality and process control in a high-volume manufacturing environment Experienced in QS-9000, ISO/TS 16949, APQP, PPAP, FMEA, DFMEA, PFMEA preferred Highly skilled in complex problem solving and root cause analysis techniques Ability to use a range of basic test and measurement tools, including calipers, micrometers, torque wrenches, DMMs, etc Ability to interpret mechanical and electrical engineer drawings, with a working knowledge of GD&T Working understanding of basic statistical concepts and methods. Experience in SQL, Python, Mintab/JMP, and Solidworks/Catia is preferred"
7,python,texas,59,7,Onapsis,cb78ced3c0354832,Software Engineer II Python,"About the job Onapsis is on a mission to safeguard the most critical business applications that business depends on daily. Over 20% of the Fortune 100 rely on Onapsis to secure their business-critical applications and ensure they are compliant and available. We are looking for self-motivated and enthusiastic Software Engineers who want to make an impact in the cybersecurity space by continuing to advance, maintain, and enhance our platform features in the areas of Threat Detection & Response, Vulnerability Management, and Compliance Automation. What you will be doing, your legacy: Working with leadership, product management, and the Onapsis research team. You will be engaged in evaluating, scoping, proposing, and building features to fulfill business solution requirements to protect our customers. Work collaboratively within a team of cybersecurity researchers, engineers, and product managers to iterate toward product definition and realization. Additionally, you will be working with the Architecture team to take the platform to the next level of maturity in terms of technologies and architecture design while advancing our quality engineering processes to deliver high-quality products and services while also working closely with security and IT professionals to ensure safe and secure systems architectures are followed. Requirements:2+ years of professional software engineering experience1+ years of programming experience with Python1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability, and scaling) of new and current systemsBachelor's Degree in Systems Engineering, Computer Science or related field, or relevant work experience.Experience building APIs (REST, GraphQL, Django, Flask)Experience developing in Linux environmentKnowledge of test-driven development (TDD), CI / CD tooling, and Agile methodologiesExperience with Asynchronous tasks/queues. (Celery, AMQP, MQTT, Redis)Experience with Relational databases and ORMs (we use PostgreSQL and SQLAlchemy).Experience troubleshooting production environments using observability and monitoring toolsDesired skills or interests in:Container technology, i.e., Docker, KubernetesSecurity software development best practicesCloud-native application development and Cloud TechnologiesExperience taking a leading role in building complex software systems that have been successfully delivered to customersKnowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsExperience with distributed computing and enterprise-wide systemsExperience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, technical designs, and product strategyWhat we offer:A role in shaping the future of protecting the most critical applications that run the world's business and a career that grows as the company grows.A unique culture of high achievement and teamwork.Supportive and humble colleagues are some of the space's top problem solvers and innovators.Financial security through competitive compensation and incentives.A comprehensive benefits plan, including medical, dental, vision, disability, life insurance, and a 401K.Unlimited paid time off.Location: Dallas Mid-Cities - Hybrid 1-2 days per week in office, so candidates must be commutable to Mid-Cities / Dallas, Texas - This is not a remote-only opportunity. About our Company: Onapsis is a proven market leader that protects the most critical applications that run your business. Only Onapsis delivers the actionable intelligence, automated governance, continuous monitoring, and secure change capabilities required by cross-functional teams to optimize workflows and automate manual tasks so they can embrace and accelerate SAP and Oracle E-Business Suite (EBS) modernization, cloud, IoT, and mobility initiatives while keeping the most vital systems and data protected and compliant. Headquartered in Boston, MA, and with regional offices in DFW Metroplex, Heidelberg, Germany, Bucharest, Romania and Buenos Aires, Argentina, Onapsis proudly serves more than 300 of the world's leading brands and organizations, including many of the Global 2000. #LI-RB1 #Hybrid"
8,python,texas,59,5,Berry Appleman & Leiden LLP,b6fafdeb0dd12be8,UiPath Developer,"This role will report to the Richardson, TX office location 3 days a week on a HYBRID schedule. OVERVIEW:  Berry Appleman & Leiden is not your typical law firm when it comes to technology. We've built an in-house Products team from the ground up that is dedicated to building the best technology in our industry. Our Products Team supports our flagship SaaS product, Cobalt, which won the SIIA CODiE award for ""Best Legal Solution"" in 2020, was a 2020 Tech Titans Finalist for Corporate Innovation, and helped BAL obtain a spot on the 2023 Fast Company World’s Most Innovative Companies list!  The UiPath Developer is tasked with delivering automations to drive successful adoption of automation. In addition to building automations, the UIPath Developer will also own deliverables across the automation journey to ensure automation use cases and scenarios are properly built and documented. PRIMARY RESPONSIBILITIES Designs and implements automation solutions from business and technical requirements. Partners with Business Analysts to define the manual rules used to govern the process and translate those rules into automated commands. Responsible for scripting and coding in UiPath, VB.Net and Python to build automation, and for creating technical documentation following best practices. Rigorously execute automation testing, including unit testing, user acceptance testing, and bug fixes. Responsible for peer code assessments and knowledge transfer Continues to participate in trainings to further enhance skills and abilities, including tools and best practices Create documents (TDD, Run-book etc.) related to the RPA projects Production support for RPA processes Other duties as assigned. QUALIFICATIONS: Bachelor’s degree in Computer Science, Computer Engineering, Mathematics, etc. Minimum 3 years of experience with software development using UiPath and RPA technologies. Understands all the stages of an Automation journey. 2-5 years of experience with software development. Experience in .Net, HTML, JavaScript, SQL, VB .Net, C#, Excel Macros, and advanced automation tools (Python, OCR, IDP, AI/ML) is preferred. Ability to break down business problems into logical tasks and think creatively. Experience in building and integrating applications using APIs. Ability to perform code analysis to understand how the solution is implemented. Cross-functional business and application knowledge"
9,python,texas,59,3,Odyssey Space Research,bd9cf5b1d6aa88f1,Senior Software Engineer,"About the Opportunity: Odyssey Space Research, L.L.C has opportunities for full-time Software Engineers to support our Boulder, CO office. Odyssey provides innovative engineering and software solutions to advance space exploration – and has fun doing it. We foster a collaborative culture with a relaxed work environment where happy employees produce exceptional outcomes. Being a part of Odyssey means being part of a team of highly skilled and motivated professionals in fields such as aerospace, software, mathematics, and physics. Join us as we work on commercial and NASA space projects to bring crew and cargo to the ISS, the moon, and beyond. Our goal is to provide you with challenging work that changes the world. Visit us at https://www.odysseysr.com/ Job Description: These positions involve simulation software and flight software development and testing in an object oriented environment on several space vehicle projects. Odyssey specializes in Guidance Navigation and Control (GN&C), but is seeking other spacecraft flight software domain expertise (e.g. ECLSS, EPS, C&DH, C&T, Crew displays, etc.) and expertise in flight software architecture, scheduling, testing and similar. Duties: Developing and extending spacecraft flight software applications, space vehicle software architecture, device drivers and interfaces, as well as test support hardware and software interfaces. Required:U.S. Citizen or Permanent Resident due to government contract requirementsBS or MS Degree in Engineering, Computer Science, or similar degree programSignificant C/C++ experience (5+ years) in a Linux environment5+ years related professional experienceExperience with the full software development lifecycle and practicesDesired:Guidance Navigation and Control (GN&C) or other spacecraft system domain knowledgeMatlab/Simulink expertisePython and other scripting languagesExperience developing code on various platforms (ARM, x86, PowerPC, SPARC, 8051, etc.)Hands-on experience with hardware interfaces (PCI, 1553, SPI, I2C, CAN, RS-422/232, etc.)Experience with developing hard-real time RTOS applications at the top of the software stackExperience with developing RTOS device driversExperience with remote systems, especially commanding and telemetryExperience with various networking standards (including, but not limited to TCP, UDP, IP)Experience with various CCSDS standardsSalary Range: $70k – $150k More Opportunities"
